RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,Complain,Satisfaction Score,Card Type,Point Earned
2173,47201803,Smith,519,France,Female,72,7,14366.66,1,1,1,31415.71,0,0,3,PLATINUM,391
2174,63628551,Smith,388,France,Female,54,1,15001.69,1,1,1,32987.4,0,0,2,PLATINUM,433
2175,70988371,Smith,418,Germany,Male,50,0,138685.59,3,0,1,39375.08,1,0,2,DIAMOND,394
2176,36356226,Smith,585,Spain,Female,42,5,240018.95,1,0,0,143542.34,0,0,5,SILVER,621
2177,99884303,Smith,397,Spain,Male,40,7,55118.41,1,0,0,84044.34,0,0,4,PLATINUM,604
2178,42325149,Smith,730,France,Female,77,8,82697.99,1,1,1,100765.11,0,0,3,PLATINUM,867
2179,78255980,Smith,406,France,Female,73,9,24661.99,3,0,0,59764.82,0,0,5,GOLD,883
2180,33255666,Smith,626,Spain,Female,80,7,90561.81,4,1,0,149860.1,0,0,3,GOLD,597
2181,96012533,Smith,687,Spain,Male,25,1,11083.12,3,1,1,170616.12,0,0,5,GOLD,922
2182,89157203,Smith,448,Germany,Female,34,0,97273.5,4,0,0,40440.69,0,0,5,GOLD,101
2183,99124711,Smith,753,France,Male,74,6,138871.94,1,0,1,46619.48,0,0,4,DIAMOND,835
2184,89885559,Smith,364,France,Female,79,6,243751.21,1,1,0,74486.15,0,0,1,DIAMOND,359
2185,47396843,Smith,674,France,Male,28,2,204596.99,3,1,1,63231.65,0,0,3,GOLD,392
2186,75749277,Smith,810,Spain,Female,84,5,205516.35,3,0,0,110991.95,0,0,5,SILVER,219
2187,40267797,Smith,528,France,Male,57,6,57036.08,2,0,1,152990.05,0,0,5,DIAMOND,247
2188,38570055,Smith,681,Germany,Male,57,8,21808.68,3,0,0,160722.0,1,0,2,GOLD,501
2189,32636262,Smith,411,Germany,Female,73,0,150768.68,3,1,0,49605.44,0,0,1,GOLD,300
2190,99920287,Smith,468,France,Male,70,2,130284.55,1,0,0,43360.55,0,0,2,SILVER,801
2191,21654304,Smith,818,France,Male,45,4,129125.97,1,1,1,79101.91,0,0,1,SILVER,723
2192,73292404,Smith,386,Germany,Male,59,2,27252.0,1,1,0,38067.55,0,0,4,SILVER,977
2193,68272527,Smith,483,France,Female,63,7,123471.22,3,0,0,27441.44,0,0,4,PLATINUM,777
2194,39370827,Smith,804,France,Male,35,9,37588.94,2,0,1,56090.5,0,0,2,PLATINUM,663
2195,13341861,Smith,375,France,Female,40,5,105528.65,1,0,0,84849.32,0,0,2,SILVER,245
2196,23116915,Smith,839,Spain,Male,43,1,15540.66,2,1,0,121689.92,1,0,1,DIAMOND,989
2197,12615804,Smith,845,Spain,Male,46,0,214223.15,2,1,1,147422.97,0,0,1,DIAMOND,970
2198,31089933,Smith,357,Germany,Male,69,9,3295.02,3,1,0,52334.19,0,0,2,GOLD,129
2199,46968086,Smith,806,Spain,Male,63,4,234830.78,3,1,1,165546.12,0,0,2,GOLD,994
2200,66318065,Smith,824,Germany,Female,18,10,215722.96,1,1,1,16397.44,0,0,5,SILVER,147
2201,80379073,Smith,353,Germany,Female,80,8,188152.02,4,0,1,94368.74,0,0,3,PLATINUM,189
2202,35381224,Smith,370,Spain,Male,33,9,245637.65,3,0,1,130284.54,0,0,2,GOLD,270
2203,21045633,Smith,764,France,Female,42,8,13455.0,2,0,1,65340.17,0,0,1,DIAMOND,641
2204,97210744,Smith,498,France,Female,79,0,160399.28,3,0,1,139901.47,0,0,5,GOLD,820
2205,51765312,Smith,837,Spain,Male,33,2,212325.52,3,0,0,174740.16,0,0,4,DIAMOND,847
2206,64915906,Smith,374,Spain,Male,86,5,31654.27,2,1,1,26979.6,1,0,4,SILVER,511
2207,51672086,Smith,836,France,Male,87,4,146193.74,3,0,1,107386.48,0,0,4,PLATINUM,636
2208,30989593,Smith,492,Spain,Male,51,3,98480.48,3,1,1,13566.4,0,0,5,PLATINUM,707
2209,39396163,Smith,594,France,Male,70,1,108956.78,1,1,0,63119.11,1,0,2,DIAMOND,347
2210,77342646,Smith,768,France,Male,40,3,228131.02,2,1,1,36018.65,1,0,3,GOLD,343
2211,33683333,Smith,782,Germany,Female,60,4,134662.86,4,1,0,128612.25,0,0,4,SILVER,671
2212,66444322,Smith,392,France,Male,61,1,23315.51,4,1,1,57249.9,0,0,2,GOLD,175
2213,31586325,Smith,774,Germany,Male,49,9,234304.04,4,0,1,63655.65,0,0,4,DIAMOND,818
2214,61914894,Smith,642,France,Male,40,0,46302.79,3,1,1,49069.76,1,0,4,GOLD,466
2215,27503547,Smith,534,France,Female,37,6,223159.2,2,0,0,56322.48,0,0,4,DIAMOND,223
2216,42963684,Smith,391,Germany,Male,36,6,242730.18,4,0,1,52770.94,0,0,1,SILVER,425
2217,78903155,Smith,780,Germany,Female,89,7,219459.37,3,0,0,142595.55,0,0,5,PLATINUM,290
2218,14952075,Smith,441,France,Female,46,9,169283.44,4,0,0,191603.98,0,0,5,SILVER,651
2219,46432549,Smith,666,Spain,Female,35,5,185887.95,1,1,0,103143.97,0,0,1,DIAMOND,407
2220,31258833,Smith,747,Germany,Male,86,0,174966.81,3,0,0,124073.68,0,0,4,DIAMOND,485
2221,22670380,Smith,673,France,Female,29,7,115131.1,4,0,1,165440.17,0,0,5,PLATINUM,966
2222,34151842,Smith,402,France,Male,27,1,68604.93,3,0,0,100460.17,0,0,5,DIAMOND,322
2223,87540509,Smith,433,Spain,Male,54,2,71250.68,2,1,1,67384.63,0,0,5,SILVER,809
2224,22774615,Smith,383,Germany,Male,72,7,182791.97,3,1,1,190685.22,1,0,4,SILVER,233
2225,15287913,Smith,425,France,Male,21,3,156509.11,2,0,0,182169.74,0,0,4,PLATINUM,725
2226,21476429,Smith,702,France,Female,80,4,146221.01,4,0,1,51868.35,0,0,5,DIAMOND,165
2227,79913666,Smith,757,France,Male,29,8,163152.21,1,1,1,143584.52,1,0,3,DIAMOND,161
2228,47711695,Smith,753,France,Female,35,10,193696.56,4,0,0,132956.51,0,0,2,SILVER,573
2229,36779149,Smith,546,Germany,Female,25,6,187085.23,4,1,1,133430.24,1,0,2,DIAMOND,919
2230,89110216,Smith,835,Spain,Male,49,9,26349.1,2,1,1,167814.57,1,0,4,DIAMOND,840
2231,53069838,Smith,635,France,Male,66,6,90758.76,4,1,0,138080.07,0,0,3,SILVER,480
2232,84193473,Smith,437,Spain,Female,80,0,65991.78,3,1,0,108420.73,0,0,3,DIAMOND,266
2233,42002177,Smith,584,Spain,Female,76,0,134559.67,2,0,0,170752.53,0,0,3,PLATINUM,975
2234,30892578,Smith,581,Spain,Male,84,7,15354.02,1,1,1,60319.79,0,0,1,SILVER,695
2235,20091985,Smith,356,Spain,Male,56,9,190616.01,3,0,0,139052.85,0,0,1,SILVER,312
2236,95138637,Smith,641,Spain,Male,67,0,26631.83,1,0,0,143288.85,0,0,5,PLATINUM,571
2237,39464339,Smith,387,Germany,Female,88,9,67850.51,4,0,0,175360.84,1,0,3,PLATINUM,242
2238,55275089,Smith,813,France,Male,43,1,195685.38,1,1,1,199678.45,0,0,2,GOLD,847
2239,78599551,Smith,401,France,Male,40,3,12890.0,4,1,0,115934.75,0,0,1,PLATINUM,517
2240,52866200,Smith,492,Spain,Male,80,8,165050.27,3,0,1,102038.65,0,0,4,SILVER,713
2241,64388673,Smith,779,France,Male,83,6,231119.57,3,1,1,124129.81,0,0,4,PLATINUM,303
2242,42318232,Smith,756,France,Female,56,6,154409.45,2,1,0,135148.75,1,0,3,DIAMOND,927
2243,55545724,Smith,745,France,Female,83,9,178164.37,3,0,1,145467.0,0,0,5,DIAMOND,129
2244,88445365,Smith,570,Spain,Male,63,6,198066.72,4,0,1,63431.91,0,0,3,PLATINUM,624
2245,15272864,Smith,777,Spain,Female,32,4,55561.58,2,0,1,102536.15,0,0,4,SILVER,639
2246,80897827,Smith,589,France,Male,33,0,145240.98,4,1,0,80474.91,0,0,4,DIAMOND,180
2247,64206558,Smith,492,France,Female,89,4,77264.18,1,1,1,17366.92,1,0,5,PLATINUM,553
2248,88649101,Smith,698,Germany,Female,33,7,62373.84,2,1,1,125809.45,1,0,1,SILVER,717
2249,70980032,Smith,842,France,Male,56,6,48114.1,4,0,0,176214.76,0,0,5,GOLD,305
2250,63699693,Smith,712,Germany,Male,28,6,146357.65,4,1,1,185079.81,0,0,2,DIAMOND,478
2251,73607605,Smith,731,France,Male,53,1,198632.98,3,1,0,108310.49,0,0,4,GOLD,605
2252,82294637,Smith,398,Spain,Male,35,0,218972.27,2,1,1,155518.07,0,0,2,DIAMOND,251
2253,89837564,Smith,626,Germany,Female,40,3,107146.49,4,0,0,145358.42,0,0,4,SILVER,676
2254,31609907,Smith,620,Germany,Male,66,7,93224.75,3,0,0,53490.62,0,0,4,GOLD,837
2255,21021186,Smith,363,Germany,Male,59,0,171826.73,1,1,1,21953.0,1,0,3,PLATINUM,865
2256,75702370,Smith,647,France,Male,61,1,195089.81,2,0,0,152092.72,0,0,4,SILVER,667
2257,64549381,Smith,841,France,Male,18,6,63329.83,2,0,1,63711.93,0,0,4,GOLD,947
2258,53193996,Smith,813,Germany,Male,24,4,74322.72,2,1,1,114382.67,0,0,4,DIAMOND,886
2259,34362375,Smith,364,Spain,Male,65,5,133348.33,2,0,0,109572.23,0,0,4,PLATINUM,253
2260,50733588,Smith,583,France,Female,33,7,111096.42,4,0,1,165396.04,0,0,3,PLATINUM,156
2261,36231747,Smith,412,Germany,Male,65,8,176446.93,1,0,1,132482.68,0,0,3,GOLD,719
2262,53663896,Smith,545,Spain,Female,60,7,126121.25,3,1,1,170957.99,0,0,2,PLATINUM,146
2263,69276366,Smith,376,Spain,Male,68,0,27899.78,4,0,1,152924.84,0,0,2,GOLD,839
2264,85013292,Smith,820,Germany,Female,83,10,41488.3,4,0,1,199967.95,0,0,2,DIAMOND,203
2265,88510011,Smith,442,Germany,Female,48,3,225477.21,2,1,0,174136.24,0,0,5,PLATINUM,333
2266,12322523,Smith,454,Spain,Female,56,4,56849.59,4,0,1,50104.55,0,0,3,DIAMOND,265
2267,36379085,Smith,658,Spain,Male,26,8,12521.52,1,0,1,192663.89,0,0,3,PLATINUM,991
2268,14746771,Smith,401,Spain,Female,58,5,182863.64,4,0,1,74625.52,0,0,1,DIAMOND,472
2269,18640145,Smith,668,Germany,Male,80,5,171002.79,4,0,0,125489.6,1,0,1,PLATINUM,284
2270,61173179,Smith,806,France,Female,31,2,150019.0,3,1,0,188856.64,1,0,1,SILVER,901
2271,43065406,Smith,530,France,Male,75,1,125564.04,4,0,0,50691.4,0,0,2,PLATINUM,831
2272,77973509,Smith,406,France,Male,91,1,242395.09,1,0,0,172886.8,0,0,4,DIAMOND,819
2273,11428127,Smith,469,Spain,Female,81,6,29958.07,2,1,1,191098.99,0,0,5,SILVER,847
2274,85968554,Smith,657,Spain,Male,45,4,127540.7,2,1,0,172212.53,0,0,3,DIAMOND,156
2275,47809281,Smith,712,Germany,Female,21,9,141011.24,1,1,0,165642.55,0,0,2,GOLD,984
2276,59223966,Smith,392,Germany,Female,51,0,5623.23,2,0,1,60276.73,0,0,5,GOLD,570
2277,18336900,Smith,484,France,Male,21,4,102998.11,2,1,1,87348.94,0,0,3,SILVER,698
2278,28392993,Smith,722,France,Female,87,10,195700.53,4,0,1,154463.47,0,0,5,GOLD,597
2279,78082045,Smith,775,Germany,Male,75,0,117774.69,1,1,0,32451.43,0,0,5,SILVER,208
2280,28268849,Smith,609,France,Female,21,8,218819.61,3,1,1,178790.78,0,0,3,SILVER,235
2281,42363575,Smith,546,France,Male,67,7,161199.73,4,0,0,49948.82,1,0,5,PLATINUM,428
2282,79170638,Smith,482,Germany,Male,22,3,191521.34,1,0,0,117313.27,0,0,1,SILVER,684
2283,74119240,Smith,808,France,Male,62,10,201120.03,4,1,0,29961.31,1,0,1,DIAMOND,236
2284,97746642,Smith,604,Spain,Female,52,0,172375.06,1,0,1,45186.09,0,0,5,SILVER,586
2285,71910920,Smith,838,France,Male,44,10,187345.17,2,1,1,121245.01,0,0,2,DIAMOND,311
2286,84085474,Smith,569,Spain,Male,19,7,173827.63,3,1,1,130582.01,0,0,4,GOLD,156
2287,62097172,Smith,685,France,Male,71,4,137615.94,4,0,1,61252.79,0,0,3,GOLD,561
2288,16210715,Smith,390,France,Male,89,0,141633.24,2,1,0,32628.49,0,0,2,PLATINUM,316
2289,76088429,Smith,827,Germany,Male,65,1,47471.2,1,1,0,114415.63,1,0,4,PLATINUM,225
2290,41335282,Smith,737,Spain,Male,66,4,206859.81,4,0,1,169721.19,0,0,3,GOLD,501
2291,30020303,Smith,604,Germany,Male,18,8,78034.33,3,0,0,48274.66,0,0,4,PLATINUM,733
2292,27686927,Smith,351,France,Male,50,9,133934.22,3,1,0,141397.41,1,0,3,PLATINUM,963
2293,50467715,Smith,843,France,Male,52,7,62386.39,4,1,0,83317.4,0,0,1,PLATINUM,216
2294,45174147,Smith,544,Germany,Female,71,10,173966.24,2,1,1,189186.73,1,0,2,GOLD,656
2295,53570727,Smith,591,France,Male,73,9,243792.24,3,1,0,25688.9,1,0,4,PLATINUM,337
2296,16314768,Smith,498,France,Male,32,7,200485.06,4,1,1,17593.99,0,0,1,SILVER,594
2297,69680868,Smith,547,Germany,Male,86,8,154773.87,4,1,0,33618.57,0,0,2,GOLD,634
2298,18815995,Smith,648,France,Female,21,1,141876.63,4,1,0,158664.52,0,0,5,DIAMOND,457
2299,85173084,Smith,594,France,Male,81,6,122442.81,1,1,0,185326.25,1,0,2,SILVER,626
2300,28321829,Smith,687,France,Male,39,9,51242.86,3,0,0,166270.56,0,0,2,DIAMOND,329
2301,95183718,Smith,457,Spain,Female,41,4,87002.51,4,0,1,146388.08,0,0,1,GOLD,559
2302,33912113,Smith,802,France,Female,64,2,101598.52,1,1,1,20941.09,0,0,1,DIAMOND,991
2303,34525886,Smith,742,Spain,Female,23,9,236142.27,1,0,1,50624.2,0,0,4,PLATINUM,197
2304,56573028,Smith,561,France,Male,44,7,106395.71,1,0,0,187722.02,0,0,4,DIAMOND,762
2305,59839731,Smith,505,Spain,Male,27,1,146547.59,2,1,1,128330.68,1,0,5,SILVER,711
2306,62762173,Smith,375,France,Male,56,3,230606.14,2,0,1,98981.6,1,0,1,GOLD,475
2307,40590972,Smith,431,France,Male,91,4,129606.6,4,0,1,133939.3,0,0,1,GOLD,416
2308,55038050,Smith,432,Spain,Female,54,4,62862.44,2,0,1,43932.81,1,0,2,SILVER,949
2309,43843291,Smith,480,Spain,Female,71,3,95251.53,3,0,0,179645.1,0,0,2,GOLD,835
2310,65339989,Smith,678,Spain,Male,68,2,93884.8,3,0,0,134697.69,0,0,5,DIAMOND,843
2311,74587277,Smith,449,Spain,Female,77,2,178679.39,4,1,0,99536.45,0,0,2,DIAMOND,721
2312,98635846,Smith,605,France,Male,89,4,74030.18,4,1,0,96901.36,0,0,2,SILVER,204
2313,73842020,Smith,828,France,Male,68,9,182572.14,3,0,1,166251.73,1,0,4,DIAMOND,413
2314,61877884,Smith,398,France,Male,79,5,222310.68,4,1,0,68495.02,0,0,5,DIAMOND,765
2315,92913877,Smith,750,Spain,Male,66,0,84018.25,4,0,0,36055.04,0,0,4,GOLD,403
2316,57378941,Smith,412,France,Female,68,10,33835.28,4,0,0,45277.21,0,0,5,SILVER,435
2317,52537345,Smith,660,Spain,Female,45,3,159638.59,2,1,1,25415.84,0,0,4,PLATINUM,111
2318,47811773,Smith,756,France,Male,53,9,90213.62,4,0,0,106493.96,1,0,4,SILVER,259
2319,64091482,Smith,639,Germany,Male,42,9,133496.54,4,0,1,138679.06,0,0,5,PLATINUM,670
2320,62959636,Smith,454,France,Female,53,5,158541.41,1,0,0,187457.19,0,0,2,PLATINUM,505
2321,92430197,Smith,454,France,Female,77,1,101935.74,1,1,1,152654.85,0,0,3,PLATINUM,919
2322,49031525,Smith,674,Germany,Male,24,9,231173.61,4,1,0,120791.04,0,0,1,SILVER,187
2323,52147406,Smith,364,Germany,Female,82,4,99903.66,2,1,0,174151.25,0,0,5,PLATINUM,832
2324,94388500,Smith,524,Spain,Female,90,10,76843.58,1,1,0,179520.48,0,0,3,GOLD,907
2325,54194441,Smith,608,Germany,Female,53,8,221418.81,1,0,0,145353.27,1,0,4,DIAMOND,417
2326,62010809,Smith,560,Germany,Male,90,2,34075.43,4,1,1,20694.07,0,0,2,SILVER,155
2327,19426807,Smith,761,Spain,Female,47,2,31052.23,2,1,1,65434.84,0,0,4,SILVER,590
2328,27438118,Smith,608,Germany,Female,64,8,233924.55,4,0,1,73875.33,0,0,5,SILVER,887
2329,57246348,Smith,451,Germany,Female,46,2,52242.1,1,1,1,199502.47,1,0,3,GOLD,143
2330,62058324,Smith,609,France,Female,22,3,37109.35,2,0,1,98190.89,0,0,4,DIAMOND,624
2331,28463212,Smith,693,France,Female,82,8,133792.08,4,0,1,154758.2,0,0,2,SILVER,552
2332,40596308,Smith,508,Germany,Male,86,3,11697.12,3,0,1,164621.48,0,0,5,PLATINUM,969
2333,58774836,Smith,394,Spain,Female,80,4,155003.75,1,1,1,134119.42,1,0,5,GOLD,949
2334,97132497,Smith,792,France,Female,73,1,113232.7,4,0,0,13472.53,0,0,4,PLATINUM,604
2335,19091044,Smith,650,France,Female,34,7,160102.99,2,1,0,13676.4,0,0,2,SILVER,559
2336,58890527,Smith,600,Germany,Female,68,8,70984.23,3,1,0,165567.8,0,0,5,PLATINUM,595
2337,92051235,Smith,680,France,Male,54,9,226368.05,4,1,0,150455.59,0,0,5,DIAMOND,641
2338,78660194,Smith,514,Germany,Male,26,3,67645.18,4,0,1,111862.14,0,0,4,DIAMOND,804
2339,78080112,Smith,542,Germany,Male,55,2,159391.17,1,0,0,57284.49,1,0,3,PLATINUM,463
2340,81766715,Smith,358,France,Female,70,3,236272.96,4,1,0,26475.6,1,0,1,GOLD,754
2341,82487614,Smith,750,Spain,Female,30,6,100202.32,3,1,0,41210.99,0,0,2,GOLD,822
2342,12607411,Smith,723,Germany,Male,70,0,40356.63,4,0,1,120261.52,0,0,5,GOLD,611
2343,78802303,Smith,414,Germany,Male,66,10,17095.62,1,0,0,113707.06,1,0,5,SILVER,872
2344,28608310,Smith,736,France,Male,87,10,240754.5,3,0,1,188840.72,0,0,5,DIAMOND,947
2345,93713817,Smith,844,France,Male,52,1,190925.37,3,0,0,191882.58,0,0,3,GOLD,462
2346,19447933,Smith,631,Spain,Male,33,9,229738.02,1,0,0,119441.3,0,0,1,DIAMOND,847
2347,99809441,Smith,530,France,Male,30,4,174708.26,2,1,1,169872.19,0,0,4,GOLD,489
2348,62295219,Smith,764,France,Female,28,8,85612.13,3,1,1,164327.41,1,0,2,GOLD,544
2349,89916795,Smith,631,France,Female,19,5,30754.15,2,1,0,152951.55,0,0,3,PLATINUM,301
2350,41216359,Smith,628,France,Male,36,2,232326.71,3,0,1,93094.22,0,0,5,SILVER,627
2351,13815144,Smith,379,France,Female,62,2,122404.76,3,0,1,83987.2,0,0,1,GOLD,856
2352,97322332,Smith,615,France,Female,63,6,99127.25,1,1,0,60185.46,0,0,1,GOLD,552
2353,93649971,Smith,677,Spain,Male,64,2,144448.02,4,1,1,188048.05,1,0,1,SILVER,665
2354,77925916,Smith,841,Germany,Male,66,9,26639.83,3,0,1,168540.82,0,0,4,PLATINUM,463
2355,84705449,Smith,566,France,Female,59,2,77300.95,4,0,0,43652.0,0,0,2,GOLD,804
2356,26177172,Smith,669,Spain,Female,50,9,159469.03,3,1,0,57967.99,0,0,5,GOLD,552
2357,90411177,Smith,755,France,Female,58,6,25030.74,2,1,0,120452.24,0,0,3,PLATINUM,137
2358,83378188,Smith,748,Germany,Male,86,8,33810.69,4,1,0,88583.96,0,0,3,PLATINUM,631
2359,44982512,Smith,728,France,Female,36,8,127646.97,2,0,1,50640.55,0,0,3,PLATINUM,470
2360,86599400,Smith,454,France,Male,56,2,155864.28,4,0,0,160319.74,0,0,3,PLATINUM,683
2361,46075711,Smith,533,Spain,Male,24,7,46750.43,4,1,1,10295.09,0,0,5,DIAMOND,875
2362,34281104,Smith,679,France,Female,56,0,8271.16,2,0,0,75222.54,1,0,2,GOLD,938
2363,20488951,Smith,497,Spain,Male,51,7,239591.72,1,1,1,186576.48,0,0,5,DIAMOND,577
2364,22485000,Smith,454,France,Male,61,10,6873.16,2,1,1,154545.92,1,0,3,GOLD,994
2365,32897064,Smith,396,France,Male,86,1,513.01,1,0,0,86244.15,0,0,2,PLATINUM,143
2366,12726016,Smith,436,Germany,Female,85,3,80835.14,1,1,1,186458.4,0,0,4,PLATINUM,611
2367,10442939,Smith,658,Germany,Female,80,6,55613.29,4,1,1,181152.61,1,0,2,PLATINUM,662
2368,69772463,Smith,786,France,Female,88,5,143396.59,2,1,1,19990.91,0,0,4,GOLD,566
2369,30060188,Smith,478,France,Male,65,8,223552.22,3,1,1,34308.81,0,0,5,SILVER,764
2370,40822201,Smith,607,France,Female,20,7,120276.92,3,0,0,83573.76,0,0,4,GOLD,818
2371,23135871,Smith,663,Spain,Male,51,1,193325.3,2,0,0,186585.55,0,0,4,PLATINUM,982
2372,64254875,Smith,496,France,Female,26,3,227306.76,3,1,1,170398.98,0,0,2,SILVER,543
2373,62404938,Smith,795,France,Male,78,0,47349.91,1,1,0,19074.73,1,0,5,SILVER,212
2374,23331233,Smith,811,Spain,Female,37,6,122077.72,2,0,1,107342.88,0,0,2,PLATINUM,164
2375,58743175,Smith,421,France,Female,57,3,160517.5,1,0,0,146848.13,0,0,1,SILVER,444
2376,96405050,Smith,835,France,Male,29,7,82970.81,4,1,0,62425.31,0,0,4,SILVER,966
2377,64221525,Smith,489,France,Male,45,1,184938.03,2,1,1,147279.65,0,0,2,PLATINUM,703
2378,60120903,Smith,759,Germany,Female,65,7,176328.74,3,1,1,80247.84,0,0,5,GOLD,568
2379,45281840,Smith,376,France,Female,91,1,105273.57,3,0,0,62070.74,0,0,2,SILVER,163
2380,96687822,Smith,378,France,Male,24,10,21988.44,1,0,0,84587.32,0,0,1,PLATINUM,890
2381,71808528,Smith,620,Spain,Female,31,7,2892.2,4,0,1,190652.19,0,0,4,GOLD,896
2382,27832891,Smith,523,France,Male,36,0,92337.39,3,0,1,182005.93,0,0,1,GOLD,964
2383,66348502,Smith,602,France,Male,71,1,20517.21,3,0,1,183650.74,0,0,1,SILVER,701
2384,89061847,Smith,734,France,Male,77,4,195406.11,4,0,1,184302.03,1,0,4,PLATINUM,986
2385,42038060,Smith,409,Germany,Male,84,0,83581.45,1,0,0,43872.08,1,0,1,DIAMOND,657
2386,61296836,Smith,456,Spain,Male,51,4,166524.57,1,0,1,180251.67,0,0,4,GOLD,473
2387,90246175,Smith,569,France,Male,58,4,86594.75,4,0,0,50332.52,0,0,4,GOLD,816
2388,93860395,Smith,790,France,Male,48,6,198984.6,4,0,0,169245.77,0,0,3,DIAMOND,999
2389,62492736,Smith,608,France,Male,56,1,222103.12,1,1,0,112960.79,0,0,5,GOLD,964
2390,34795222,Smith,720,France,Male,69,1,209378.54,2,0,1,55592.83,0,0,2,DIAMOND,685
2391,81214087,Smith,495,Germany,Male,64,5,121118.39,1,0,0,85718.88,0,0,2,GOLD,522
2392,54766028,Smith,401,France,Male,37,10,20987.9,2,1,1,92341.85,0,0,5,PLATINUM,375
2393,39084871,Smith,409,France,Male,69,9,92927.78,2,1,1,149302.54,1,0,1,PLATINUM,649
2394,21963776,Smith,383,Germany,Male,88,2,106114.0,2,1,0,125144.08,0,0,5,GOLD,213
2395,51164396,Smith,445,France,Male,79,7,240063.5,1,0,0,165188.61,0,0,4,DIAMOND,322
2396,99681330,Smith,826,Germany,Male,22,2,141374.33,4,0,1,85392.95,0,0,4,GOLD,816
2397,47609879,Smith,438,France,Male,74,9,160211.56,2,0,1,151282.2,1,0,2,SILVER,645
2398,59896930,Smith,665,Spain,Female,21,3,195500.9,4,1,1,160632.86,0,0,3,PLATINUM,174
2399,62005527,Smith,759,France,Female,28,6,142050.62,4,1,0,21997.41,0,0,1,DIAMOND,382
2400,28557968,Smith,580,Spain,Male,36,0,149621.15,3,0,1,81371.25,1,0,5,PLATINUM,596
2401,91610372,Smith,805,France,Female,44,0,61331.95,4,1,1,178338.0,1,0,4,GOLD,882
2402,46847763,Smith,624,Spain,Female,46,8,14716.65,1,0,0,143945.42,0,0,4,SILVER,545
2403,90566548,Smith,595,France,Female,35,5,180346.47,1,1,1,89504.81,1,0,3,PLATINUM,666
2404,64096103,Smith,460,Germany,Male,54,4,212171.17,2,1,0,44765.11,0,0,4,SILVER,686
2405,50808249,Smith,583,France,Male,78,1,103000.05,1,0,1,28356.06,1,0,5,GOLD,613
2406,75651053,Smith,627,Germany,Male,64,1,137228.61,2,0,0,53576.65,0,0,2,PLATINUM,750
2407,35568906,Smith,826,Germany,Female,37,6,76821.31,1,0,1,56491.56,0,0,2,SILVER,273
2408,18589747,Smith,766,Germany,Female,87,5,112555.15,2,1,0,80425.77,0,0,1,PLATINUM,332
2409,30681938,Smith,515,Germany,Male,66,7,52222.43,1,0,0,43615.11,0,0,5,GOLD,720
2410,31992838,Smith,477,France,Female,32,2,189971.7,1,0,1,37749.03,0,0,4,PLATINUM,282
2411,21135474,Smith,586,France,Female,35,2,122977.95,2,1,0,170361.28,0,0,4,DIAMOND,204
2412,57637042,Smith,843,Germany,Male,55,4,136789.14,4,1,1,57412.27,0,0,5,GOLD,380
2413,86705258,Smith,640,France,Female,39,9,9272.02,3,0,1,116705.02,0,0,2,DIAMOND,283
2414,35258425,Smith,456,France,Female,77,3,155599.6,1,1,0,47866.91,0,0,4,SILVER,306
2415,29952900,Smith,477,France,Male,83,7,50663.95,4,0,1,103433.17,0,0,4,SILVER,293
2416,88881540,Smith,544,France,Female,43,5,95848.66,3,0,0,62575.28,1,0,5,SILVER,121
2417,27406301,Smith,688,Germany,Male,81,7,103178.93,3,1,1,26491.94,0,0,1,DIAMOND,353
2418,87457397,Smith,743,Germany,Male,75,6,112183.15,1,1,1,196613.41,0,0,5,GOLD,173
2419,71730143,Smith,824,Spain,Male,20,1,56859.1,4,0,1,96983.16,0,0,4,DIAMOND,967
2420,36683911,Smith,492,France,Male,47,8,212527.56,1,1,1,84679.01,0,0,5,SILVER,643
2421,74623935,Smith,744,Spain,Male,36,10,106962.54,2,0,1,47833.2,1,0,5,GOLD,158
2422,87510793,Smith,460,Germany,Male,27,5,153033.61,2,1,0,104119.52,0,0,1,SILVER,688
2423,99957925,Smith,439,Spain,Male,63,10,153484.39,3,1,0,130691.61,0,0,2,DIAMOND,899
2424,96404718,Smith,600,Spain,Female,36,10,151746.17,2,0,0,67883.51,0,0,5,DIAMOND,583
2425,94489183,Smith,629,Germany,Male,75,5,139829.5,4,0,1,101279.5,0,0,5,GOLD,485
2426,72953839,Smith,682,France,Female,23,1,205656.44,2,0,1,55045.4,0,0,1,PLATINUM,589
2427,70966110,Smith,573,France,Female,68,8,203154.45,2,1,0,110265.49,0,0,4,SILVER,682
2428,15303943,Smith,450,France,Male,31,0,104286.14,4,1,0,159570.75,1,0,3,PLATINUM,926
2429,92562815,Smith,481,Spain,Female,75,5,158961.51,4,0,0,21440.55,1,0,3,GOLD,988
2430,49051623,Smith,362,Spain,Male,25,7,25707.31,2,1,1,108389.4,1,0,4,GOLD,131
2431,41099208,Smith,806,Germany,Male,19,1,22693.17,4,0,1,85878.99,0,0,4,SILVER,968
2432,39805505,Smith,790,Spain,Male,35,2,119979.1,1,0,0,24067.85,0,0,4,PLATINUM,455
2433,57675854,Smith,846,Spain,Male,74,9,225051.01,2,0,1,188696.72,0,0,2,GOLD,512
2434,88113713,Smith,447,Germany,Male,52,9,162499.93,3,1,1,59370.17,0,0,2,SILVER,394
